,molecule_chembl_id,bioactivity_class,canonical_smiles,MW,LogP,NumHDonors,NumHAcceptors,pIC50
5184,CHEMBL332760,active,CC(C)c1ccc(NC(=O)Oc2ccc3c(c2)[C@]2(C)CCN(C)[C@@H]2N3C)cc1,379.5040000000001,4.7900000000000045,1.0,4.0,6.119186407719209
5185,CHEMBL4556664,inactive,COc1cc(O)c(C(C)=O)c(-c2c(C)cc(O)c3oc4c(O)cc(C)c(-c5cc(OC)cc(O)c5C(=O)O)c4c23)c1,558.5390000000003,6.277240000000007,5.0,9.0,4.165579296318468
5187,CHEMBL353468,active,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3C)CC1)C2,393.5270000000002,4.669520000000005,0.0,4.0,6.614393726401688
5188,CHEMBL5182803,active,O=C(COc1ccc(CCc2ccccc2)cc1)NCC1CCN(Cc2ccccc2)CC1,442.6030000000004,4.879000000000004,1.0,3.0,6.8696662315049934
5192,CHEMBL4206041,active,Cc1cc(=O)oc2cc(OCc3cc[n+](Cc4cccc(F)c4)cc3)ccc12,376.407,4.155320000000003,0.0,3.0,7.380906669373258
5193,CHEMBL3597065,inactive,CCOC(=O)C1=C(Nc2ccc(Cl)cc2)C[C@@H](c2ccc(OC)cc2)N(c2ccc(Cl)cc2)[C@@H]1c1ccc(OC)cc1,603.5460000000003,8.632600000000002,1.0,6.0,3.42021640338319
5194,CHEMBL5414873,inactive,CCOc1ccc(Cc2nc3cc(OC(=O)NC4CC4)ccc3n2CCC(C)C)cc1,421.5410000000002,5.3227000000000055,1.0,5.0,4.6020599913279625
5195,CHEMBL3953893,inactive,COc1cccc2c1C=[N+](c1cc(Cl)cc(Cl)c1)CC2,307.20000000000005,4.321200000000003,0.0,1.0,5.0
5197,CHEMBL179455,active,Nc1ccc2c(c1)c(-c1ccccc1)[n+](CCCNCCCNCCCNc1c3c(nc4ccccc14)CCCC3)c1cc(N)ccc21,638.884,7.000500000000006,5.0,6.0,8.809668301829708
5198,CHEMBL4061527,active,COc1cc2c(cc1OC)C(=O)C(CC1C=CN(Cc3ccccc3C)C=C1C(C)=O)C2,431.53200000000027,4.875920000000005,0.0,5.0,6.368556230986828
5199,CHEMBL3985136,active,CC1=C(C(=O)OC(C)C)C(c2cccc(F)c2)c2c(nc3c(c2N)CC(C)(C)CC3)N1,423.53200000000027,5.100800000000003,2.0,5.0,6.253365801062421
5201,CHEMBL4164418,inactive,CO[C@@H]1O[C@H]([C@@H]2c3cc4c(cc3CCN2C)OCO4)c2ccc3c(c21)OCO3,383.40000000000015,3.089500000000001,0.0,7.0,4.0
5202,CHEMBL4751100,active,COc1cc2c(cc1O)CCC(C)(CCNCCCCCCCCNc1c3c(nc4cc(Cl)ccc14)CCCC3)O2,580.2130000000001,7.997300000000008,3.0,6.0,9.920818753952377
5203,CHEMBL219316,active,COc1cc(CCC(=O)NCCCCC(=O)NNc2c3c(nc4ccccc24)CCCC3)cc(OC)c1OC,534.6570000000004,4.501800000000004,3.0,7.0,7.229147988357855
5204,CHEMBL5089535,inactive,O=C(O[C@H]1CN2Cc3cc4c(cc3[C@]13C=C[C@@H](O)C[C@H]23)OCO4)c1ccccc1Cl,425.86800000000017,3.0507000000000017,1.0,6.0,4.886056647693163
5205,CHEMBL3577511,active,CCN(CCCCOc1ccc(-c2cc(=O)c3c(OC)c(OC)c(OC)cc3o2)cc1)Cc1ccccc1OC,547.6480000000004,6.175500000000007,0.0,8.0,7.096910013008056
